Publication Year,Author,Title,Publication Title,ISBN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Publisher,Language,Manual Tags,Conference Name
2013,"Ghio, Alain; Gasquet-Cyrus, Médéric; Roquel, Juliette; Giovanni, Antoine",Perceptual interference between regional accent and voice/speech disorders,Interspeech 2013,,10.21437/Interspeech.2013-506,https://www.isca-speech.org/archive/interspeech_2013/ghio13_interspeech.html,"We present a study where we examined the influence of a regional accent in the perception of voice and/or speech disorders. These aspects are most of the time overshadowed in clinical context. This protocol, involving multiple sources of speech variations, is also interesting for perception theories. For the experiment, speakers with or without a Southern French accent and with or without speech/voice disorders were recorded on reading a text. The samples were then randomly played back to two groups of listeners (familiar vs unfamiliar with the regional accent), specialists in speech therapy. The task was the perceptual evaluation of voice quality, articulation disorders and dysprosody. We focused in this paper on the voice dimension. The main results on this part concern the weak influence of regional accent on the perception of moderate or severe dysphonia, where the speech signal is strongly disturbed by the disorder. By contrast, the effect of regional accent is important on normal voices perception: listeners unfamiliar with the regional accent judge speakers with accent without voice disorder as slightly dysphonic. This last result can be interpreted as a form of perceptual interference between different dimensions of speech variations around a central position.",25/08/2013,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:16,2138-2142,ISCA,en,L1,Interspeech 2013
2018,"Ghorbani, Shahram; Hansen, John H.L.",Leveraging Native Language Information for Improved Accented Speech Recognition,Interspeech 2018,,10.21437/Interspeech.2018-1378,https://www.isca-speech.org/archive/interspeech_2018/ghorbani18_interspeech.html,"Recognition of accented speech is a long-standing challenge for automatic speech recognition (ASR) systems, given the increasing worldwide population of bi-lingual speakers with English as their second language. If we consider foreign-accented speech as an interpolation of the native language (L1) and English (L2), using a model that can simultaneously address both languages would perform better at the acoustic level for accented speech. In this study, we explore how an end-to-end recurrent neural network (RNN) trained system with English and native languages (Spanish and Indian languages) could leverage data of native languages to improve performance for accented English speech. To this end, we examine pre-training with native languages, as well as multi-task learning (MTL) in which the main task is trained with native English and the secondary task is trained with Spanish or Indian Languages. We show that the proposed MTL model performs better than the pre-training approach and outperforms a baseline model trained simply with English data. We suggest a new setting for MTL in which the secondary task is trained with both English and the native language, using the same output set. This proposed scenario yields better performance with +11.95% and +17.55% character error rate gains over baseline for Hispanic and Indian accents, respectively.",02/09/2018,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:16,2449-2453,ISCA,en,L2,Interspeech 2018
2006,"Ghorshi, Seyed; Vaseghi, Saeed; Yan, Qin","Comparative analysis of formants of British, american and australian accents",Interspeech 2006,,10.21437/Interspeech.2006-35,https://www.isca-speech.org/archive/interspeech_2006/ghorshi06_interspeech.html,"This paper compares and quantifies the differences between formants of speech across accents. The cross entropy information measure is used to compare the differences between the formants of the vowels of three major English accents namely British, American and Australian. An improved formant estimation method, based on a linear prediction (LP) model feature analysis and a hidden Markov model (HMM) of formants, is employed for estimation of formant trajectories of vowels and diphthongs. Comparative analysis of the formant space of the three accents indicates that these accents are mostly conveyed by the first two formants. The third and fourth formants exhibit some significant differences across accents for only a few phonemes most notably the variants of vowel ‘r’ in the American (rhotic) accent compared to British (non-rhotic accent). The issue of speaker variability versus accent variability is examined by comparing the cross-entropies of speech models trained on different groups of speakers within and across the accents.",17/09/2006,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:16,paper 1252-Mon1BuP.9-0,ISCA,en,L1,Interspeech 2006
,"Goel, Nagendra Kumar; Sarma, Mousmita; Kushwah, Tejendra Singh; Agrawal, Dharmesh Kumar; Iqbal, Zikra; Chauhan, Surbhi","Extracting speaker’s gender, accent, age and emotional state from speech",,,,,"We demonstrate a speaker characteristics assessment solution to extract speaker’s information like gender, age, emotion, language and accent from telephone quality speech. The solution has been designed using machine learning algorithms ranging from Gaussian mixture models to deep neural networks and utilize websocket technology for real-time bidirectional interface to provide live updates in a scalable manner. The service is utilized on our demonstration web-page where user can upload or record audio ﬁle and obtain the speaker’s characteristics. Such speaker characteristics information can be used as metadata in many real life applications designed for an emotionally sensitive human to machine interaction and human to human interaction.",,22/02/2023 10:34,22/02/2023 10:34,,,,en,L1-or-L2,
2016,"Goldman, Jean-Philippe; Honnet, Pierre-Edouard; Clark, Rob; Garner, Philip N.; Ivanova, Maria; Lazaridis, Alexandros; Liang, Hui; Macedo, Tiago; Pfister, Beat; Ribeiro, Manuel Sam; Wehrli, Eric; Yamagishi, Junichi",The SIWIS Database: A Multilingual Speech Database with Acted Emphasis,Interspeech 2016,,10.21437/Interspeech.2016-1003,https://www.isca-speech.org/archive/interspeech_2016/goldman16_interspeech.html,"We describe here a collection of speech data of bilingual and trilingual speakers of English, French, German and Italian. In the context of speech to speech translation (S2ST), this database is designed for several purposes and studies: training CLSA systems (cross-language speaker adaptation), conveying emphasis through S2ST systems, and evaluating TTS systems. More precisely, 36 speakers judged as accentless (22 bilingual and 14 trilingual speakers) were recorded for a set of 171 prompts in two or three languages, amounting to a total of 24 hours of speech. These sets of prompts include 100 sentences from news, 25 sentences from Europarl, the same 25 sentences with one acted emphasised word, 20 semantically unpredictable sentences, and ﬁnally a 240-word long text. All in all, it yielded 64 bilingual session pairs of the six possible combinations of the four languages. The database is freely available for non-commercial use and scientiﬁc research purposes.",08/09/2016,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:16,1532-1535,ISCA,en,prosody,Interspeech 2016
2010,"González-Ferreras, César; Vivaracho-Pascual, Carlos; Escudero-Mancebo, David; Cardeñoso-Payo, Valentín",On the automatic toBI accent type identification from data,Interspeech 2010,,10.21437/Interspeech.2010-70,https://www.isca-speech.org/archive/interspeech_2010/gonzalezferreras10_interspeech.html,"This contribution faces the ToBI accent recognition problem with the goal of multiclass identiﬁcation vs. the more conservative Accent vs. No Accent approach. A neural network and a decision tree are used for automatic recognition of the ToBI accents in the Boston Radio Corpus. Multiclass classiﬁcation results show the difﬁculty of the problem and the impact of imbalanced classes. A study of the confusion/similarity between accent types, based on in-pair recognition rates, shows its impact on the overall performance. More expressive F0 contours parametrization techniques have been used to improve recognition rates.",26/09/2010,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:16,142-145,ISCA,en,prosody,Interspeech 2010
2013,"Graham, Calbert; Post, Brechtje",Realisation of tonal alignment in the English of Japanese-English late bilinguals,Interspeech 2013,,10.21437/Interspeech.2013-557,https://www.isca-speech.org/archive/interspeech_2013/graham13_interspeech.html,"Several factors have been attested to affect the temporal synchronisation of tonal targets such as syllable duration, segmental structure and proximity to word or intonational boundaries, e.g. [1], [2], [3]. Given the apparent languagespecific nature of tonal alignment [4], it can be expected that late bilinguals who are acquiring a second language will need to learn the alignment implementation rules of that language, in addition to other aspects. This study compared the tonal alignment patterns of Japanese late bilingual English speakers and monolingual English speakers in order to investigate to what extent learners transfer their native implementation strategies to the interlanguage, and whether alignment changes with proficiency. The results show that, although initialaccented words were aligned later than final-accented words for all groups, as expected, the Japanese bilinguals aligned the former significantly later than the monolinguals. Further analyses revealed that their off-target realisations were generally limited to a specific type of syllable structure that we speculate may be linked to peak delay in their L1.These results are taken as evidence of prosodic transfer and suggest that late bilinguals will need to learn the L2 phonetic implementation rules of alignment independently of their acquisition of the phonology.",25/08/2013,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:16,2390-2394,ISCA,en,prosody,Interspeech 2013
2006,"Gravano, Agustín; Hirschberg, Julia","Effect of genre, speaker, and word class on the realization of given and new information",Interspeech 2006,,10.21437/Interspeech.2006-208,https://www.isca-speech.org/archive/interspeech_2006/gravano06_interspeech.html,"There is much evidence in the literature that speakers tend to deaccent discourse-given entities, while accenting new ones. However, speakers do not always follow this simple strategy and the causes for such variation are not yet well understood. In this paper, we describe several new forms of variability in the relationship between given/new information and accenting behavior, variation due to individual differences and to word class. We present results indicating that different speakers have different strategies for making new words prominent. We analyze two word-classes – nouns and verbs – in a corpus of spontaneous and read direction-giving monologues, and show that speakers use different combinations of pitch, intensity and inter-word pauses to distinguish between given and new information. Most interestingly, we find that in both genres all speakers tend to produce given verbs with higher intensity than new verbs.",17/09/2006,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:16,paper 1747-Mon3A3O.5-0,ISCA,en,prosody,Interspeech 2006
2015,"Grohe, Ann-Kathrin; Poarch, Gregory J.; Hanulíková, Adriana; Weber, Andrea",Production inconsistencies delay adaptation to foreign accents,Interspeech 2015,,10.21437/Interspeech.2015-627,https://www.isca-speech.org/archive/interspeech_2015/grohe15_interspeech.html,"The effects of production inconsistencies and speaker’s accented production preferences on speech comprehension were investigated in an eyetracking experiment. Using the visual world paradigm, native speakers of German with L2 English listened to single English words produced by a German speaker that had their th either pronounced canonically or substituted with an /s/ or a /t/. Looks to the target word were most likely for the canonical pronunciation and did not differ between the substitutes. However, target looks increased for items with th substitutions in the course of the experiment, indicating slow adaptation to inconsistently foreign accented speech.",06/09/2015,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:16,3115-3119,ISCA,en,L2,Interspeech 2015
2004,"Gu, Wentao; Hirose, Keikichi; Fujisaki, Hiroya",Analysis of F0 contours of Cantonese utterances based on the command-response model,Interspeech 2004,,10.21437/Interspeech.2004-295,https://www.isca-speech.org/archive/interspeech_2004/gu04_interspeech.html,"As a major Chinese dialect, Cantonese is well known for its complex tone system. This paper applies the commandresponse model to represent the F0 contours of Cantonese speech. Analysis-by-Synthesis is conducted on both utterances of carrier sentences and utterances with less constrained structures, from which a set of appropriate tone command patterns is derived. By intrinsically incorporating the effects of tone coarticulation, word accentuation and phrase intonation, the model provides a high accuracy of approximation to the F0 contours of Cantonese, and hence serves as a much better method to quantitatively describe the continuous F0 contours than the traditional tone letter scale notation system. The constraints in timing and amplitude of tone commands are also investigated, which can be used for synthesis of F0 contours.",04/10/2004,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,781-784,ISCA,en,prosody,Interspeech 2004
2011,"Hanani, Abualsoud; Russell, Martin; Carey, Michael J.",Computer and human recognition of regional accents of british English,Interspeech 2011,,10.21437/Interspeech.2011-281,https://www.isca-speech.org/archive/interspeech_2011/hanani11_interspeech.html,"This paper is concerned with classification of the 14 regional accents of British English in the ABI (Accents of the British Isles) speech corpus. Results are reported using a state-of-theart Language Identification system, variants of Huckvale’s ACCDIST system, and human listeners. The best performance, 95.18% accuracy, is obtained using the textdependent ACCDIST measure. The performance of a conventional (text-independent) acoustic Language Identification system is poor, but is improved significantly (89.6% accuracy) by the addition of phone sequence information. Human performance (58.25% accuracy) is much lower than expected.",27/08/2011,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,729-732,ISCA,en,L1,Interspeech 2011
2012,"Hansakunbuntheung, Chatchawarn; Chotimongkol, Ananlada; Thatphithakkul, Sumonmas; Chootrakool, Patcharika",Model-based duration-difference approach on accent evaluation of L2 learner,Interspeech 2012,,10.21437/Interspeech.2012-224,https://www.isca-speech.org/archive/interspeech_2012/hansakunbuntheung12_interspeech.html,"This paper aims at using a model-based duration-difference approach to analyze L2 learners’ duration-aspect accent, and, segmental duration characteristics. We use the durational differences deviated from native-English speech duration as an objective measure to evaluate the learner’s timing characteristics. The use of model-based approach provides flexible evaluation without the need to collect any additional English reference speech. The proposed evaluation method was tested on English speech data uttered by native English speakers and Thai-native English learners with different English-study experiences. The experimental results show speaker clusters grouped by English accents and L2 learners’ English-study experiences. These results support the effectiveness of the proposed model-based objective evaluation.",09/09/2012,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,719-722,ISCA,en,L2,Interspeech 2012
2004,"Hansen, John H. L.; Yapanel, Umit; Huang, Rongqing; Ikeno, Ayako",Dialect analysis and modeling for automatic classification,Interspeech 2004,,10.21437/Interspeech.2004-38,https://www.isca-speech.org/archive/interspeech_2004/hansen04_interspeech.html,"In this paper, we present our recent work in the analysis and modeling of speech under dialect. Dialect and accent significantly influence automatic speech recognition performance, and therefore it is critical to detect and classify non-native speech. In this study, we consider three areas that include: (i) prosodic structure (normalized f0, syllable rate, and sentence duration), (ii) phoneme acoustic space modeling and sub-word classification, and (iii) word-level based modeling using large vocabulary data. The corpora used in this study include: the NATO N-4 corpus (2 accents, 2 dialects of English), TIMIT (7 dialect regions), and American and British English versions of the WSJ corpus. These corpora were selected because the contained audio material from specific dialects/accents of English (N-4), were phonetically balanced and organized across U.S. (TIMIT), or contained significant amounts of read audio material from distinct dialects (WSJ). The results show that significant changes occur at the prosodic, phoneme space, and word levels for dialect analysis, and that effective dialect classification can be achieved using processing strategies from each domain.",04/10/2004,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,1569-1572,ISCA,en,L2,Interspeech 2004
2017,"Hanulíková, Adriana; Ekström, Jenny","Lexical Adaptation to a Novel Accent in German: A Comparison Between German, Swedish, and Finnish Listeners",Interspeech 2017,,10.21437/Interspeech.2017-369,https://www.isca-speech.org/archive/interspeech_2017/hanulikova17_interspeech.html,"Listeners usually adjust rapidly to unfamiliar regional and foreign accents in their native (L1) language. Non-native (L2) listeners, however, usually struggle when confronted with unfamiliar accents in their non-native language. The present study asks how native language background of L2 speakers influences lexical adjustments in a novel accent of German, in which several vowels were systematically lowered. We measured word judgments on a lexical decision task before and after exposure to a 15-min story in the novel dialect, and compared German, Swedish and Finnish listeners’ performance. Swedish is a Germanic language and shares with German a number of lexical roots and a relatively large vowel inventory. Finnish is a Finno-Ugric language and differs substantially from Germanic languages in both lexicon and phonology. The results were as predicted: descriptively, all groups showed a similar pattern of adaptation to the accented speech, but only German and Swedish participants showed a significant effect. Lexical and phonological relatedness between the native and non-native languages may thus positively influence lexical adaptation in an unfamiliar accent.",20/08/2017,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,1784-1788,ISCA,en,L1-or-L2,Interspeech 2017
2006,"Hardison, Debra M.",Effects of familiarity with faces and voices on second-language speech processing: components of memory traces,Interspeech 2006,,10.21437/Interspeech.2006-617,https://www.isca-speech.org/archive/interspeech_2006/hardison06_interspeech.html,"Familiarity with a talker’s voice and face was found to facilitate processing of second-language speech. This advantage is accentuated when visual cues are limited to either the mouth and jaw area, or eyes and upper cheek areas of a talker’s face. Findings are compatible with a multiple-trace model of bimodal speech processing.",17/09/2006,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,paper 1097-Thu2WeO.3-0,ISCA,en,prosody,Interspeech 2006
2015,"Hautamäki, Ville; Siniscalchi, Sabato Marco; Behravan, Hamid; Salerno, Valerio Mario; Kukanov, Ivan",Boosting universal speech attributes classification with deep neural network for foreign accent characterization,Interspeech 2015,,10.21437/Interspeech.2015-165,https://www.isca-speech.org/archive/interspeech_2015/hautamaki15_interspeech.html,"We have recently proposed a universal acoustic characterisation to foreign accent recognition, in which any spoken foreign accent was described in terms of a common set of fundamental speech attributes. Although experimental evidence demonstrated the feasibility of our approach, we belive that speech attributes, namely manner and place of articulation, can be better modelled by a deep neural network. In this work, we propose the use of deep neural network trained on telephone bandwidth material from different languages to improve the proposed universal acoustic characterisation. We demonstrate that deeper neural architectures enhance the attribute classiﬁcation accuracy. Furthermore, we show that improvements in attribute classiﬁcation carry over to foreign accent recognition by producing a 21% relative improvement over previous baseline on spoken Finnish, and a 5.8% relative improvement on spoken English.",06/09/2015,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,408-412,ISCA,en,L2,Interspeech 2015
2004,"Heggtveit, Per Olav; Natvig, Jon Emil",Automatic prosody labeling of read norwegian,Interspeech 2004,,10.21437/Interspeech.2004-662,https://www.isca-speech.org/archive/interspeech_2004/heggtveit04_interspeech.html,In this paper we present initial work on a method for automatic stress and boundary labelling of read EastNorwegian. The context of this work is automatic corpus annotation for unit selection speech synthesis.,04/10/2004,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,2741-2744,ISCA,en,prosody,Interspeech 2004
,"Hirano, Hiroko; Nakamura, Ibuki; Minematsu, Nobuaki; Suzuki, Masayuki; Nakagawa, Chieko; Nakamura, Noriko; Tagawa, Yukinori; Hirose, Keikichi; Hashimoto, Hiroya",A Free Online Accent and Intonation Dictionary for Teachers and Learners of Japanese.,,,,,"We have developed the very ﬁrst free online and free framework for teaching and learning Japanese prosody with features for word accent and phrase intonation. This framework is called OJAD (Online Japanese Accent Dictionary) [1], which provides three functions. 1) Visual, auditory, systematic, and comprehensive illustration of patterns of accent change (accent sandhi) of verbs and adjectives. Here only the changes resulting from twelve kinds of fundamental conjugation are focused upon. 2) Visual illustration of the accent pattern of a given verbal expression, which is a combination of a verb and its postpositional auxiliary words. 3) Visual illustration of the pitch pattern of an any given sentence and the expected positions of accent nuclei in the sentence. The third function is implemented by using an accent change prediction module that we developed for Japanese text-to-speech (TTS) synthesizers [2]. Subjective assessment by teachers shows very high pedagogical effectiveness of the framework.",,22/02/2023 10:34,22/02/2023 10:34,,,,en,L2,
2005,"Hirose, Keikichi; Furuyama, Yusuke; Minematsu, Nobuaki",Corpus-based extraction of F0 contour generation process model parameters,Interspeech 2005,,10.21437/Interspeech.2005-566,https://www.isca-speech.org/archive/interspeech_2005/hirose05_interspeech.html,"A corpus-based method was developed for automatic extraction of the F0 contour generation process model parameters (phrase and accent commands). The method first smoothes the observed F0 contour by a piecewise 3rd order polynomial function and finds points of inflection. Then several parameters related to the points are used as input parameters for the predictor of the model commands. Finally the predicted commands are tuned to the observed contour by the analysis-by-synthesis. An experiment was conducted using ATR 504 sentence speech corpus, and the performance close to a rule-based method, also developed by the authors, was obtained. An experiment was further conducted by adding linguistic information of the content of the utterance (such as accent type, depth of bunsetsu boundary) to input parameters. The performance was largely improved; the extraction rates reached around 90 % for phrase commands and 84 % for accent commands.",04/09/2005,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,3257-3260,ISCA,en,prosody,Interspeech 2005
2020,"Hirschi, Kevin; Kang, Okim; Cucchiarini, Catia; Hansen, John H.L.; Evanini, Keelan; Strik, Helmer",Mobile-Assisted Prosody Training for Limited English Proficiency: Learner Background and Speech Learning Pattern,Interspeech 2020,,10.21437/Interspeech.2020-2901,https://www.isca-speech.org/archive/interspeech_2020/hirschi20_interspeech.html,"The use of Mobile-Assisted Pronunciation Training (MAPT) has been increasing drastically due to the personal and interactive nature of mobile devices. However, MAPT applications lack support from empirical evidence as research on MAPT-based acquisition, particularly related to prosody, has been rare. The present study employs a MAPT application with lessons on lexical stress and prominence with Limited English Proficiency (LEP) users (n = 31) of mixed ages and first languages. Then, 16 experienced raters conducted discoursebased prosodic analysis on unconstrained speech collected at the beginning and the end of the intervention. A series of mixedeffect model analyses were conducted on learner effort, improvement and learner background to investigate their relationship with accentedness and comprehensibility. The results indicated that present MAPT prosody interventions were effective for comprehensibility but not accentedness, however, learner effort on lexical stress and prominence exhibit differing patterns. Similar to previous findings, learner age impacts production more than the length of residency or history of language study. Implications include a prosody-based MAPT application; support for the treatment of accentedness and comprehensibility as separate, but related constructs; and a further understanding of the role of learner-related factors in prosody intervention.",25/10/2020,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,4452-4456,ISCA,en,L2,Interspeech 2020
2017,"Hojo, Nobukatsu; Ohsugi, Yasuhito; Ijima, Yusuke; Kameoka, Hirokazu",DNN-SPACE: DNN-HMM-Based Generative Model of Voice F0 Contours for Statistical Phrase/Accent Command Estimation,Interspeech 2017,,10.21437/Interspeech.2017-719,https://www.isca-speech.org/archive/interspeech_2017/hojo17_interspeech.html,"This paper proposes a method to extract prosodic features from a speech signal by leveraging auxiliary linguistic information. A prosodic feature extractor called the statistical phrase/accent command estimation (SPACE) has recently been proposed. This extractor is based on a statistical model formulated as a stochastic counterpart of the Fujisaki model, a wellfounded mathematical model representing the control mechanism of vocal fold vibration. The key idea of this approach is that a phrase/accent command pair sequence is modeled as an output sequence of a path-restricted hidden Markov model (HMM) so that estimating the state transition amounts to estimating the phrase/accent commands. Since the phrase and accent commands are related to linguistic information, we may expect to improve the command estimation accuracy by using them as auxiliary information for the inference. To model the relationship between the phrase/accent commands and linguistic information, we construct a deep neural network (DNN) that maps the linguistic feature vectors to the state posterior probabilities of the HMM. Thus, given a pitch contour and linguistic information, we can estimate phrase/accent commands via state decoding. We call this method “DNN-SPACE.” Experimental results revealed that using linguistic information was effective in improving the command estimation accuracy.",20/08/2017,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,1074-1078,ISCA,en,prosody,Interspeech 2017
2013,"Hou, Luying; Jia, Yuan; Li, Aijun",Phonetic manifestation and influence of zero anaphora in Chinese reading texts,Interspeech 2013,,10.21437/Interspeech.2013-372,https://www.isca-speech.org/archive/interspeech_2013/hou13_interspeech.html,"The present paper conducts a pioneering study on the phonetic manifestation and influence of zero anaphora in Chinese reading texts. The stress degree of the boundary syllable and the duration of the pause at the anaphoric position are examined. The results show: i) the boundary syllable after zero anaphoric form is more accented; for the two types of zero anaphora concerned in this study, the boundary syllable after distant zero anaphoric form is more accented than that after immediate zero anaphoric form; ii) the boundary syllable before immediate anaphoric form is more accented than that before distant anaphoric form; iii) the pause before immediate zero anaphoric form is shorter than that before other types of anaphoric forms. Based on these results, the study further proposes that the syllable weight of the underlying anaphoric form is projected to the following syllable in the surface representation. Moreover, semantic distance and relation can account for the differences between distant and immediate zero anaphora.",25/08/2013,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,1424-1428,ISCA,en,prosody,Interspeech 2013
2017,"Hou, Luying; Bruyn, Bert Le; Kager, René",Disambiguate or not? — The Role of Prosody in Unambiguous and Potentially Ambiguous Anaphora Production in Strictly Mandarin Parallel Structures,Interspeech 2017,,10.21437/Interspeech.2017-1214,https://www.isca-speech.org/archive/interspeech_2017/hou17_interspeech.html,"It has been observed that the interpretation of pronouns can depend on their accentuation patterns in parallel sentences as “John hit Bill and then George hit him”, in which ‘him’ refers to Bill when unaccented but shifts to John when accented. While accentuation is widely regarded as a means of disambiguation, some studies have noticed that it also extends to unambiguous anaphors [7-10]. From the perspective of production, however, no strong experimental confirmation was found for the ‘shift’ function of accented pronouns, which is due to the fact that production research has mainly focused on corpora [5, 6]. Hence, the nature of the accent on anaphors still remains obscure. By manipulating referential shift and ambiguity, this study explores the role of prosody in anaphora production in strictly Mandarin parallel structures. The results reveal a significantly higher F0 and longer duration for anaphors in referentially shifted conditions, suggesting that anaphoric accentuation signals a referential change in strictly parallel structures in Mandarin. No evidence was found that ambiguity plays a role in anaphoric accentuation. This finding challenges the general view on accented pronouns and will deepen our understanding on semantics-prosody relationship.",20/08/2017,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,1393-1397,ISCA,en,prosody,Interspeech 2017
2007,"House, David",Integrating audio and visual cues for speaker friendliness in multimodal speech synthesis,Interspeech 2007,,10.21437/Interspeech.2007-393,https://www.isca-speech.org/archive/interspeech_2007/house07_interspeech.html,"This paper investigates interactions between audio and visual cues to friendliness in questions in two perception experiments. In the first experiment, manually edited parametric audio-visual synthesis was used to create the stimuli. Results were consistent with earlier findings in that a late, high final focal accent peak was perceived as friendlier than an earlier, lower focal accent peak. Friendliness was also effectively signaled by visual facial parameters such as a smile, head nod and eyebrow raising synchronized with the final accent. Consistent additive effects were found between the audio and visual cues for the subjects as a group and individually showing that subjects integrate the two modalities. The second experiment used data-driven visual synthesis where the database was recorded by an actor instructed to portray anger and happiness. Friendliness was correlated to the happy database, but the effect was not as strong as for the parametric synthesis.",27/08/2007,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,1250-1253,ISCA,en,prosody,Interspeech 2007
2009,"House, David; Karlsson, Anastasia; Svantesson, Jan-Olof; Tayanin, Damrong","The phrase-final accent in kammu: effects of tone, focus and engagement",Interspeech 2009,,10.21437/Interspeech.2009-309,https://www.isca-speech.org/archive/interspeech_2009/house09_interspeech.html,"The phrase-final accent can typically contain a multitude of simultaneous prosodic signals. In this study, aimed at separating the effects of lexical tone from phrase-final intonation, phrase-final accents of two dialects of Kammu were analyzed. Kammu, a Mon-Khmer language spoken primarily in northern Laos, has dialects with lexical tones and dialects with no lexical tones. Both dialects seem to engage the phrase-final accent to simultaneously convey focus, phrase finality, utterance finality, and speaker engagement. Both dialects also show clear evidence of truncation phenomena. These results have implications for our understanding of the interaction between tone, intonation and phrase-finality.",06/09/2009,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,2439-2442,ISCA,en,prosody,Interspeech 2009
2005,"Huang, Rongqing; Hansen, John H. L.",Advances in word based dialect/accent classification,Interspeech 2005,,10.21437/Interspeech.2005-709,https://www.isca-speech.org/archive/interspeech_2005/huang05f_interspeech.html,"In an earlier study, we proposed a very effective dialect/accent classiﬁcation algorithm, which is named Word based Dialect Classiﬁcation (WDC). The WDC works well for large size corpora and signiﬁcantly outperforms traditional Large Vocabulary Continuous Speech Recognition (LVCSR) based systems, which is claimed to be the best performing system for language identiﬁcation. For a small training corpus, however, it is difﬁcult to obtain a robust statistical model for each word and each dialect. Therefore, a Context Adapted Training (CAT) algorithm is formulated here, which adapts the universal phoneme GMMs to dialect-dependent word HMMs via linear regression. Employing on a 8-dialect British English corpus–IViE, the CAT algorithm trained WDC system obtains a 35.5% relative classiﬁcation error reduction from the baseline LVCSR system, and a 20.2% relative classiﬁcation error reduction from the basic WDC system.",04/09/2005,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,2241-2244,ISCA,en,L1-or-L2,Interspeech 2005
2014,"Huang, Yan; Yu, Dong; Liu, Chaojun; Gong, Yifan",Multi-accent deep neural network acoustic model with accent-specific top layer using the KLD-regularized model adaptation,Interspeech 2014,,10.21437/Interspeech.2014-497,https://www.isca-speech.org/archive/interspeech_2014/huang14e_interspeech.html,"We propose a multi-accent deep neural network acoustic model with an accent-speciﬁc top layer and shared bottom hidden layers. The accent-speciﬁc top layer is used to model the distinct accent speciﬁc patterns. The shared bottom hidden layers allow maximum knowledge sharing between the native and the accent models. This design is particularly attractive when considering deploying such a system to a live speech service due to its computational efﬁciency. We applied the KL-divergence (KLD) regularized model adaptation to train the accent-speciﬁc top layer. On the mobile short message dictation task (SMD), with 1K, 10K, and 100K British or Indian accent adaptation utterances, the proposed approach achieves 18.1%, 26.0%, and 28.5% or 16.1%, 25.4%, and 30.6% word error rate reduction (WERR) for the British and the Indian accent respectively against a baseline cross entropy (CE) model trained from 400 hour data. On the 100K utterance accent adaptation setup, comparable performance gain can be obtained against a baseline CE model trained with 2000 hour data. We observe smaller yet signiﬁcant WER reduction on a baseline model trained using the MMI sequence-level criterion.",14/09/2014,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,2977-2981,ISCA,en,L1-or-L2,Interspeech 2014
2004,"Huckvale, Mark",ACCDIST: a metric for comparing speakers' accents,Interspeech 2004,,10.21437/Interspeech.2004-29,https://www.isca-speech.org/archive/interspeech_2004/huckvale04_interspeech.html,"This paper introduces a new metric for the quantitative assessment of the similarity of speakers' accents. The ACCDIST metric is based on the correlation of inter-segment distance tables across speakers or groups. Basing the metric on segment similarity within a speaker ensures that it is sensitive to the speaker’s pronunciation system rather than to his or her voice characteristics. The metric is shown to have an error rate of only 11% on the accent classification of speakers into 14 English regional accents of the British Isles, half the error rate of a metric based on spectral information directly. The metric may also be useful for cluster analysis of accent groups.",04/10/2004,22/02/2023 10:34,22/02/2023 10:34,06/02/2023 15:17,29-32,ISCA,en,L1-or-L2,Interspeech 2004
